text,canonical_form_1,category_1,severity_rating,severity_description
fuccs,fuck,sexual anatomy / sexual acts,2,strong
fuck,fuck,sexual anatomy / sexual acts,2,strong
fuck arse,fuck,sexual anatomy / sexual acts,2.4,strong
fuck face,fuck,sexual anatomy / sexual acts,2.4,strong
fuck faces,fuck,sexual anatomy / sexual acts,2.2,strong
fuck goblin,fuck,sexual anatomy / sexual acts,2.2,strong
fuck head,fuck,sexual anatomy / sexual acts,2.4,strong
fuck off,fuck,sexual anatomy / sexual acts,2,strong
fuck up,fuck,sexual anatomy / sexual acts,1.8,strong
fuck y0u,fuck,sexual anatomy / sexual acts,2.4,strong
fuck you,fuck,sexual anatomy / sexual acts,2.4,strong
fuck your,fuck,sexual anatomy / sexual acts,2.4,strong
fuck your mother,fuck,sexual anatomy / sexual acts,2.8,severe
fucka,fuck,sexual anatomy / sexual acts,2.2,strong
fuckahs,fuck,sexual anatomy / sexual acts,2,strong
fuckass,fuck,sexual anatomy / sexual acts,2.4,strong
fuckasses,fuck,sexual anatomy / sexual acts,2.4,strong
fuckaz,fuck,sexual anatomy / sexual acts,2.2,strong
fuckbag,fuck,sexual anatomy / sexual acts,2.6,severe
fuckboy,fuck,sexual anatomy / sexual acts,2.6,severe
fucked,fuck,sexual anatomy / sexual acts,1.8,strong
fucked up,fuck,sexual anatomy / sexual acts,2.2,strong
fuckem,fuck,sexual anatomy / sexual acts,2.2,strong
fucker,fuck,sexual anatomy / sexual acts,2.2,strong
fucker off,fuck,sexual anatomy / sexual acts,2,strong
fuckers,fuck,sexual anatomy / sexual acts,2.4,strong
fuckface,fuck,sexual anatomy / sexual acts,2.2,strong
fuckfaces,fuck,sexual anatomy / sexual acts,2.2,strong
fuckhead,fuck,sexual anatomy / sexual acts,2.2,strong
fuckheaded,fuck,sexual anatomy / sexual acts,2.6,severe
fuckheads,fuck,sexual anatomy / sexual acts,2.6,severe
fuckin,fuck,sexual anatomy / sexual acts,2,strong
fucking,fuck,sexual anatomy / sexual acts,2.2,strong
fucking a,fuck,sexual anatomy / sexual acts,2.4,strong
fucking asshole,fuck,sexual anatomy / sexual acts,2.8,severe
fucking bastard,fuck,sexual anatomy / sexual acts,2.4,strong
fucking hell,fuck,sexual anatomy / sexual acts,2,strong
fucking me,fuck,sexual anatomy / sexual acts,2.2,strong
fucking retard,fuck,sexual anatomy / sexual acts,3,severe
fucking shit,fuck,sexual anatomy / sexual acts,1.8,strong
fuckk,fuck,sexual anatomy / sexual acts,2.2,strong
fuckless,fuck,sexual anatomy / sexual acts,2,strong
fuckmachine,fuck,sexual anatomy / sexual acts,2,strong
fucknuckle,fuck,sexual anatomy / sexual acts,2.4,strong
fucks,fuck,sexual anatomy / sexual acts,2,strong
fuckshit,fuck,sexual anatomy / sexual acts,2.4,strong
fuckshitface,fuck,sexual anatomy / sexual acts,2.4,strong
fuckshithead,fuck,sexual anatomy / sexual acts,2.8,severe
fuckstar,fuck,sexual anatomy / sexual acts,2.2,strong
fuckster,fuck,sexual anatomy / sexual acts,2.2,strong
fuckstick,fuck,sexual anatomy / sexual acts,2.2,strong
fucktard,fuck,sexual anatomy / sexual acts,2.8,severe
fucktards,fuck,sexual anatomy / sexual acts,2.6,severe
fuckup,fuck,sexual anatomy / sexual acts,2,strong
fuckwad,fuck,sexual anatomy / sexual acts,2.2,strong
fuckwhore,fuck,sexual anatomy / sexual acts,2.6,severe
fucs,fuck,sexual anatomy / sexual acts,2.4,strong
fucx,fuck,sexual anatomy / sexual acts,2.2,strong
fudgefucker,fudge packer,sexual anatomy / sexual acts,3,severe
fudgepacker,fudge packer,sexual orientation / gender,2.4,strong
fudgepackers,fudge packer,sexual anatomy / sexual acts,2.2,strong
fudgepackershitter,fudge packer,sexual anatomy / sexual acts,3,severe
fudgepacking fucker,fudge packer,sexual anatomy / sexual acts,3,severe
fugged,fuck,sexual anatomy / sexual acts,1.8,strong
fugger,fuck,sexual anatomy / sexual acts,2,strong
fuggerz,fuck,sexual anatomy / sexual acts,2.6,severe
fuggings,fuck,sexual anatomy / sexual acts,2,strong
fugly,fuck,physical attributes,1.4,mild
fuk,fuck,sexual anatomy / sexual acts,2,strong
fuk1n,fuck,sexual anatomy / sexual acts,2,strong
fuk1ng,fuck,sexual anatomy / sexual acts,2.2,strong
fukcs,fuck,sexual anatomy / sexual acts,2,strong
fuker,fuck,sexual anatomy / sexual acts,2.2,strong
fukheads,fuck,sexual anatomy / sexual acts,2,strong
fukin,fuck,sexual anatomy / sexual acts,2.2,strong
fuking,fuck,sexual anatomy / sexual acts,2,strong
fukk,fuck,sexual anatomy / sexual acts,2,strong
fukka,fuck,sexual anatomy / sexual acts,2.2,strong
fukked,fuck,sexual anatomy / sexual acts,2,strong
fukker,fuck,sexual anatomy / sexual acts,2,strong
fukkers,fuck,sexual anatomy / sexual acts,2,strong
fukking,fuck,sexual anatomy / sexual acts,2,strong
fukkings,fuck,sexual anatomy / sexual acts,2,strong
fukkuh,fuck,sexual anatomy / sexual acts,2.2,strong
fuks,fuck,sexual anatomy / sexual acts,2.2,strong
fuku,fuck,sexual anatomy / sexual acts,2.6,severe
fukwhore,fuck,sexual anatomy / sexual acts,2.8,severe
fukwit,fuck,sexual anatomy / sexual acts,2.2,strong
full of shit,shit,bodily fluids / excrement,1,mild
funbags,funbags,sexual anatomy / sexual acts,1,mild
fuq,fuck,sexual anatomy / sexual acts,1.8,strong
futhamucka,motherfucker,sexual anatomy / sexual acts,2.6,severe
fux,fuck,sexual anatomy / sexual acts,2.2,strong
fux0r,fuck,sexual anatomy / sexual acts,2,strong
fvck,fuck,sexual anatomy / sexual acts,1.8,strong
fvck you,fuck,sexual anatomy / sexual acts,2.2,strong
fvcka,fuck,sexual anatomy / sexual acts,2,strong
fvckbunny,fuck,sexual anatomy / sexual acts,2.2,strong
fvcker,fuck,sexual anatomy / sexual acts,2.4,strong
fvckers,fuck,sexual anatomy / sexual acts,2.2,strong
fvckin,fuck,sexual anatomy / sexual acts,1.8,strong
fvcking,fuck,sexual anatomy / sexual acts,2,strong
fvckker bunny,fuck,sexual anatomy / sexual acts,2.2,strong
fvckwhi,fuck,sexual anatomy / sexual acts,2.2,strong
fxck,fuck,sexual anatomy / sexual acts,1.6,strong
fxcked,fuck,sexual anatomy / sexual acts,2,strong
fxcker,fuck,sexual anatomy / sexual acts,2.2,strong
fxcking,fuck,sexual anatomy / sexual acts,2.2,strong
g@y b1tch,bitch,sexual orientation / gender,2.6,severe
g@ylord,gay,sexual orientation / gender,1.8,strong
g@yshit,shit,sexual orientation / gender,2.6,severe
g0ddamn,damn,religious offense,1.2,mild
g0ddamned,damn,religious offense,1.6,strong
g0ddamnit,damn,religious offense,1,mild
gash-stabber,gash-stabber,sexual anatomy / sexual acts,2,strong
gay ass,gay,sexual anatomy / sexual acts,2.6,severe
gay bitch,gay,sexual orientation / gender,2.6,severe
gay fuck,fuck,sexual orientation / gender,2.6,severe
gay fucker,fuck,sexual anatomy / sexual acts,2.8,severe
gay shit,gay,bodily fluids / excrement,1.8,strong
gay wad,gay,sexual orientation / gender,2,strong
gayest,gay,sexual orientation / gender,1,mild
gaylord,gay,sexual orientation / gender,1.6,strong
gaylords,gay,sexual orientation / gender,2.2,strong
gayness,gay,sexual orientation / gender,1.4,mild
gaysian,gay,sexual orientation / gender,2.6,severe
gaytard,gay,sexual orientation / gender,2.8,severe
geebag,garbage bag,sexual orientation / gender,1.8,strong
get fucked,fuck,sexual anatomy / sexual acts,2.4,strong
gin jockey,gin jockey,sexual anatomy / sexual acts,2,strong
girlieboy,girlyboy,sexual orientation / gender,1.4,mild
girly bits,girly bits,sexual anatomy / sexual acts,1,mild
girlyboy,girlyboy,sexual orientation / gender,1.4,mild
go fuck yourself,fuck,sexual anatomy / sexual acts,2.6,severe
go to hell,hell,other / general insult,1,mild
gobshite,shit,bodily fluids / excrement,1.8,strong
god dammit,damn,religious offense,1.6,strong
god damn,damn,religious offense,1.4,mild
god damn it,damn,religious offense,1.8,strong
god damned,damn,religious offense,1.2,mild
god damnit,damn,religious offense,2.2,strong
god-dam,damn,religious offense,1.2,mild
god-damned,damn,religious offense,1.4,mild
godamnit,damn,religious offense,2,strong
godd@amn,damn,religious offense,1.4,mild
godd@mnit,damn,religious offense,1.4,mild
goddammit,damn,religious offense,1,mild
goddamn,damn,religious offense,1.6,strong
goddamn mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,severe
goddamn son of a bitch,damn,religious offense,2.2,strong
goddamn son-of-a-bitch,damn,religious offense,1.4,mild
goddamned,damn,religious offense,1.8,strong
goddamnit,damn,religious offense,1.6,strong
gook,gook,racial / ethnic slurs,2.8,severe
gowl,gowl,other / general insult,1.6,strong
greaser,greaser,racial / ethnic slurs,1,mild
groid,groid,racial / ethnic slurs,2,strong
groper,grope,sexual anatomy / sexual acts,1.4,mild
gyp,gypsy,racial / ethnic slurs,2,strong
harry palms,harry palms,sexual anatomy / sexual acts,1.6,strong
heeb,hebe,racial / ethnic slurs,2.2,strong
higg@,nigger,racial / ethnic slurs,2.6,severe
higg3r,nigger,racial / ethnic slurs,2.8,severe
higga,nigger,racial / ethnic slurs,2.8,severe
higger,nigger,racial / ethnic slurs,2.6,severe
higgers,nigger,racial / ethnic slurs,3,severe
hoar,whore,sexual orientation / gender,1.8,strong
hoe,hoe,sexual orientation / gender,2,strong
hoe-asses,hoe,sexual orientation / gender,2.2,strong
hoebag,hoe,sexual orientation / gender,2,strong
hoes,hoe,sexual orientation / gender,2,strong
holy fuck,fuck,sexual anatomy / sexual acts,2,strong
homo,homosexual,sexual orientation / gender,2.2,strong
homo asses,homosexual,sexual anatomy / sexual acts,2.8,severe
homos,homosexual,sexual orientation / gender,2.2,strong
hooters,hooters,sexual anatomy / sexual acts,1,mild
horse shit,shit,bodily fluids / excrement,1.2,mild
horse's asses,ass,sexual anatomy / sexual acts,1.4,mild
horseshit,shit,bodily fluids / excrement,1.2,mild
hustler,hustler,other / general insult,1,mild
injun,injun,racial / ethnic slurs,2.4,strong
j-offs,jerk off,sexual anatomy / sexual acts,1.4,mild
j3rk,jerk,other / general insult,1,mild
ja!lbait,jailbait,sexual anatomy / sexual acts,1,mild
ja1lbait,jailbait,physical attributes,1,mild
jack off,jackoff,sexual anatomy / sexual acts,1.4,mild
jack-off,jack off,sexual anatomy / sexual acts,1.2,mild
jack-offs,jack off,sexual anatomy / sexual acts,1.4,mild
jackarse,arse,sexual anatomy / sexual acts,1,mild
jackass,ass,animal references,1,mild
jackasses,ass,sexual anatomy / sexual acts,1,mild
jackasss,ass,animal references,1.2,mild
jackoff,jack off,sexual anatomy / sexual acts,2,strong
jackoffs,jack off,sexual anatomy / sexual acts,1.2,mild
jackoffz,jack off,sexual anatomy / sexual acts,1.6,strong
jagoff,jack off,sexual anatomy / sexual acts,1,mild
jailba!t,jailbait,physical attributes,1.6,strong
jailbait,jailbait,sexual anatomy / sexual acts,1,mild
jap,jap,racial / ethnic slurs,2.8,severe
jerk off,jerk off,sexual anatomy / sexual acts,1,mild
jerk-0ff,jerk off,sexual anatomy / sexual acts,1.2,mild
jerk-0ffs,jerk off,sexual anatomy / sexual acts,1.4,mild
jerk-off,jerk off,sexual anatomy / sexual acts,1.2,mild
jerk-offs,jerk off,sexual anatomy / sexual acts,1,mild
jerking off,jerk off,sexual anatomy / sexual acts,1,mild
jerkoff,jerk off,sexual anatomy / sexual acts,1.6,strong
jerkoff jerking off,jerk off,sexual anatomy / sexual acts,1.2,mild
jerkoffs,jerk off,sexual anatomy / sexual acts,1.2,mild
jerks off,jerk off,sexual anatomy / sexual acts,1.4,mild
jewboy,jew,racial / ethnic slurs,2.8,severe
jigaboo,jiggaboo,racial / ethnic slurs,2.4,strong
jigaboos,jiggaboo,racial / ethnic slurs,2.8,severe
jigga,jiggaboo,racial / ethnic slurs,2.4,strong
jiggaboo,jiggaboo,racial / ethnic slurs,3,severe
jiggabooboo,jiggaboo,racial / ethnic slurs,2.4,strong
jiggaboos,jiggaboo,racial / ethnic slurs,3,severe
jiggabu,jiggaboo,racial / ethnic slurs,3,severe
jiggas,jiggaboo,racial / ethnic slurs,2.8,severe
jigger,jiggaboo,racial / ethnic slurs,3,severe
jiggerboo,jiggaboo,racial / ethnic slurs,2.6,severe
jiggerboos,jiggaboo,racial / ethnic slurs,3,severe
jiggs,jiggaboo,racial / ethnic slurs,2.6,severe
jiggyboo,jiggaboo,racial / ethnic slurs,3,severe
jigro,jiggaboo,racial / ethnic slurs,2.8,severe
jim crow,jim crow,racial / ethnic slurs,1.4,mild
jizz,jizz,bodily fluids / excrement,1.6,strong
jizz eater,jizz,sexual anatomy / sexual acts,2.4,strong
jizz licker,jizz,sexual anatomy / sexual acts,2.4,strong
jizz-jockey,jizz,bodily fluids / excrement,2.2,strong
jizzbags,jizz,bodily fluids / excrement,2.4,strong
jizzed,jizz,bodily fluids / excrement,2,strong
jizzes,jizz,bodily fluids / excrement,2.2,strong
jizzfucker,fuck,bodily fluids / excrement,2.6,severe
jizzing,jizz,bodily fluids / excrement,1.6,strong
jizzsacks,jizz,sexual anatomy / sexual acts,1.8,strong
jizzstain,jizz,bodily fluids / excrement,2.8,severe
jizzy,jizz,bodily fluids / excrement,1.6,strong
k!k3,kike,racial / ethnic slurs,2.6,severe
k!ke,kike,racial / ethnic slurs,3,severe
k..!ke,kike,racial / ethnic slurs,3,severe
k1k3,kike,racial / ethnic slurs,3,severe
k1ke,kike,racial / ethnic slurs,2.8,severe
kid diddler,diddle,sexual anatomy / sexual acts,3,severe
kiddy touch,kidtoucher,sexual anatomy / sexual acts,1.8,strong
kike,kike,racial / ethnic slurs,3,severe
kikes,kike,racial / ethnic slurs,3,severe
kiss ass,ass,sexual anatomy / sexual acts,1,mild
kiss my ass,ass,sexual anatomy / sexual acts,1.6,strong
kitty puncher,kitty puncher,sexual anatomy / sexual acts,2.2,strong
kkk,kkk,other / general insult,1.8,strong
klan,klan,racial / ethnic slurs,1.8,strong
klitoris,clit,sexual anatomy / sexual acts,1,mild
kneegrows,negro,racial / ethnic slurs,2.8,severe
knickers,nigger,racial / ethnic slurs,1.8,strong
knob,knob,sexual anatomy / sexual acts,1.4,mild
knob eater,knob,sexual anatomy / sexual acts,2.2,strong
knob gobbler,knob,sexual anatomy / sexual acts,1.8,strong
knob jockey,knob,sexual anatomy / sexual acts,1.8,strong
knob-face,knob,sexual anatomy / sexual acts,1.6,strong
knob-gobbler,knob,sexual anatomy / sexual acts,1.6,strong
knob-head,knob,sexual anatomy / sexual acts,2,strong
knob3d,knob,sexual anatomy / sexual acts,1.6,strong
knob3nd,knob,sexual anatomy / sexual acts,1.2,mild
knobd,knob,sexual anatomy / sexual acts,1.2,mild
knobe,knob,sexual anatomy / sexual acts,1,mild
knobead,knob,sexual anatomy / sexual acts,1.4,mild
knobeads,knob,sexual anatomy / sexual acts,1.4,mild
knobed,knob,sexual anatomy / sexual acts,1.4,mild
knobeds,knob,sexual anatomy / sexual acts,1.8,strong
knobend,knob,sexual anatomy / sexual acts,1.2,mild
knobender,knob,sexual anatomy / sexual acts,2.2,strong
knobends,knob,sexual anatomy / sexual acts,1.4,mild
knobendy,knob,sexual anatomy / sexual acts,1.6,strong
knobendz,knob,sexual anatomy / sexual acts,1.4,mild
knober,knob,sexual anatomy / sexual acts,1,mild
knobes,knob,sexual anatomy / sexual acts,1.2,mild
knobgobbler,knob,sexual anatomy / sexual acts,1.8,strong
knobhead,knob,sexual anatomy / sexual acts,1.6,strong
knobheads,knob,sexual anatomy / sexual acts,1.6,strong
knobjockies,knob,sexual anatomy / sexual acts,1.8,strong
knobjocky,knob,sexual anatomy / sexual acts,2.2,strong
knobjokey,knob,sexual orientation / gender,2.6,severe
knobjokeys,knob,sexual anatomy / sexual acts,1.8,strong
ku kluxer,ku kluxer,racial / ethnic slurs,2.6,severe
kyke,kike,racial / ethnic slurs,3,severe
l@dyb0i,ladyboy,sexual orientation / gender,2.2,strong
l@dyb0y,ladyboy,sexual orientation / gender,2,strong
l@dyboy,ladyboy,sexual orientation / gender,2,strong
l3i + ch,bitch,sexual orientation / gender,1.2,mild
l3i+ch,bitch,sexual orientation / gender,1.2,mild
l3itch,bitch,sexual orientation / gender,1.4,mild
l3itches,bitch,sexual orientation / gender,1.2,mild
ladboys,ladyboy,sexual orientation / gender,1.4,mild
ladboyz,ladyboy,sexual orientation / gender,1.4,mild
ladiboy,ladyboy,sexual orientation / gender,2.2,strong
lady-boy,ladyboy,sexual orientation / gender,2.6,severe
ladyb0i,ladyboy,sexual orientation / gender,2.2,strong
ladyb0y,ladyboy,sexual orientation / gender,2.4,strong
ladyboy,ladyboy,sexual orientation / gender,2.2,strong
ladyboys,ladyboy,sexual orientation / gender,2.4,strong
ladyboyz,ladyboy,sexual orientation / gender,1.4,mild
lesbo,lesbian,sexual orientation / gender,2.2,strong
loose woman,loose,sexual orientation / gender,1.4,mild
m@asterbated,masturbate,sexual anatomy / sexual acts,1.4,mild
m@derfaker,motherfucker,sexual anatomy / sexual acts,2.8,severe
m@derfuck,motherfucker,sexual anatomy / sexual acts,3,severe
m@derfuckers,motherfucker,sexual anatomy / sexual acts,2.6,severe
m0f0,motherfucker,sexual anatomy / sexual acts,2,strong
m0f0s,motherfucker,other / general insult,2.4,strong
m0fo,motherfucker,sexual anatomy / sexual acts,2.6,severe
m0foes,motherfucker,other / general insult,2.2,strong
m0fos,motherfucker,sexual anatomy / sexual acts,2.6,severe
m0ng0l0id,mongoloid,mental disability,2.2,strong
m0ngoloid,mongoloid,racial / ethnic slurs,2.2,strong
m0thafucked,motherfucker,sexual anatomy / sexual acts,3,severe
m0thafucker,motherfucker,sexual anatomy / sexual acts,3,severe
m0thafucking,motherfucker,sexual anatomy / sexual acts,2.8,severe
m0therfuckeds,motherfucker,sexual anatomy / sexual acts,2.8,severe
m0therfucker,motherfucker,sexual anatomy / sexual acts,2.4,strong
m0therfucking,motherfucker,sexual anatomy / sexual acts,3,severe
m0therfvcker,motherfucker,sexual anatomy / sexual acts,3,severe
man chowder,man chowder,bodily fluids / excrement,1,mild
man meat,meat,sexual anatomy / sexual acts,1.2,mild
man seed,man seed,bodily fluids / excrement,1,mild
markasses,ass,sexual anatomy / sexual acts,2,strong
meat curtains,meat curtains,sexual anatomy / sexual acts,2,strong
meat-sword,meat,sexual anatomy / sexual acts,1.2,mild
mecha fag,faggot,sexual orientation / gender,3,severe
mega fag,faggot,sexual orientation / gender,2.8,severe
mf'er,motherfucker,sexual anatomy / sexual acts,2.2,strong
mf'ers,motherfucker,sexual anatomy / sexual acts,2.6,severe
mf'ing,motherfucker,sexual anatomy / sexual acts,2.2,strong
mfckers,motherfucker,sexual anatomy / sexual acts,2.2,strong
mfer,motherfucker,sexual anatomy / sexual acts,1.8,strong
mfers,motherfucker,sexual anatomy / sexual acts,2.8,severe
mfing,motherfucker,sexual anatomy / sexual acts,1.8,strong
mfk,motherfucker,sexual anatomy / sexual acts,1.6,strong
mfs,motherfucker,sexual anatomy / sexual acts,2.2,strong
mfukk,motherfucker,sexual anatomy / sexual acts,3,severe
mfukker,motherfucker,sexual anatomy / sexual acts,2.8,severe
milf,milf,sexual anatomy / sexual acts,1.8,strong
mindfuck,motherfucker,sexual anatomy / sexual acts,2.2,strong
mof0es,motherfucker,sexual anatomy / sexual acts,2.2,strong
mof0s,motherfucker,other / general insult,2.6,severe
mofcker,motherfucker,sexual anatomy / sexual acts,2.6,severe
mofo,motherfucker,sexual anatomy / sexual acts,2,strong
mofo ass,motherfucker,sexual anatomy / sexual acts,2.4,strong
mofoes,motherfucker,other / general insult,2,strong
mofos,motherfucker,sexual anatomy / sexual acts,2,strong
mofoshit,motherfucker,sexual anatomy / sexual acts,2.2,strong
mofuccers,motherfucker,sexual anatomy / sexual acts,2.4,strong
mofucckers,motherfucker,sexual anatomy / sexual acts,2.4,strong
mofuck,motherfucker,sexual anatomy / sexual acts,2.8,severe
mofucker,motherfucker,other / general insult,2,strong
mofuckkas,motherfucker,sexual anatomy / sexual acts,2.4,strong
mofuk,motherfucker,other / general insult,2.2,strong
mofukkas,motherfucker,sexual anatomy / sexual acts,2.4,strong
molester,molest,sexual anatomy / sexual acts,2.2,strong
mong,mong,racial / ethnic slurs,1.8,strong
mongoloid,mongoloid,racial / ethnic slurs,2.2,strong
mongrel,mongrel,racial / ethnic slurs,2.6,severe
motha fucka,motherfucker,sexual anatomy / sexual acts,2.8,severe
motha fucker,motherfucker,sexual anatomy / sexual acts,2.4,strong
motha fuckers,motherfucker,sexual anatomy / sexual acts,3,severe
mothaf@cked,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafcked,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafcking,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafucc,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafucced,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafuccer,motherfucker,sexual anatomy / sexual acts,3,severe
mothafuccing,motherfucker,sexual anatomy / sexual acts,3,severe
mothafuck,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafucka,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafuckas,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafuckasses,motherfucker,sexual anatomy / sexual acts,3,severe
mothafuckaz,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafuckazzes,motherfucker,sexual anatomy / sexual acts,3,severe
mothafucked,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafuckeds,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafucker,motherfucker,sexual anatomy / sexual acts,3,severe
mothafuckers,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafuckin,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafucking,motherfucker,sexual anatomy / sexual acts,3,severe
mothafuckings,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafuckins,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafucks,motherfucker,sexual anatomy / sexual acts,2.8,severe
mothafuckz,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothafvcked,motherfucker,sexual anatomy / sexual acts,2.8,severe
mother effer,motherfucker,sexual anatomy / sexual acts,2.2,strong
mother fuck,motherfucker,sexual anatomy / sexual acts,2.8,severe
mother fuck you,motherfucker,sexual anatomy / sexual acts,2.6,severe
mother fucka,motherfucker,sexual anatomy / sexual acts,2.8,severe
mother fucker,motherfucker,sexual anatomy / sexual acts,3,severe
mother fuckers,motherfucker,sexual anatomy / sexual acts,3,severe
mother fucking,motherfucker,sexual anatomy / sexual acts,3,severe
mothercker,motherfucker,sexual anatomy / sexual acts,2.2,strong
motherf@kka,motherfucker,sexual anatomy / sexual acts,2.6,severe
motherfacking,motherfucker,sexual anatomy / sexual acts,2.4,strong
motherfcked,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfckin,motherfucker,sexual anatomy / sexual acts,3,severe
motherfcking,motherfucker,sexual anatomy / sexual acts,3,severe
motherfcks,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfckshit,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfecka,motherfucker,sexual anatomy / sexual acts,2.4,strong
motherfecker,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfk,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfucca,motherfucker,sexual anatomy / sexual acts,2.6,severe
motherfuccas,motherfucker,sexual anatomy / sexual acts,3,severe
motherfuccers,motherfucker,sexual anatomy / sexual acts,3,severe
motherfuck,motherfucker,sexual anatomy / sexual acts,2.4,strong
motherfucked,motherfucker,sexual anatomy / sexual acts,3,severe
motherfuckeds,motherfucker,sexual anatomy / sexual acts,3,severe
motherfucker,motherfucker,sexual anatomy / sexual acts,3,severe
motherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfuckin,motherfucker,sexual anatomy / sexual acts,2.6,severe
motherfucking,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfuckings,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfuckingshit,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfuckins,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfuckka,motherfucker,sexual anatomy / sexual acts,3,severe
motherfuckkas,motherfucker,sexual anatomy / sexual acts,3,severe
motherfuckkers,motherfucker,sexual anatomy / sexual acts,3,severe
motherfucks,motherfucker,sexual anatomy / sexual acts,3,severe
motherfukka,motherfucker,sexual anatomy / sexual acts,3,severe
motherfukker,motherfucker,sexual anatomy / sexual acts,3,severe
motherfukkings,motherfucker,sexual anatomy / sexual acts,2.6,severe
motherfvck,motherfucker,sexual anatomy / sexual acts,2.6,severe
motherfvcked,motherfucker,sexual anatomy / sexual acts,2.6,severe
motherfvckeds,motherfucker,sexual anatomy / sexual acts,2.2,strong
motherfvcker,motherfucker,sexual anatomy / sexual acts,3,severe
motherfvckers,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfvcking,motherfucker,sexual anatomy / sexual acts,2.8,severe
motherfxck,motherfucker,other / general insult,2.4,strong
motherfxcking,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothfck,motherfucker,sexual anatomy / sexual acts,2.6,severe
mothter fuck,motherfucker,sexual anatomy / sexual acts,3,severe
mtherfuker,motherfucker,sexual anatomy / sexual acts,3,severe
mthrfcker,motherfucker,sexual anatomy / sexual acts,2.6,severe
muddafukkas,motherfucker,sexual anatomy / sexual acts,3,severe
mudderfuk,motherfucker,sexual anatomy / sexual acts,2.2,strong
mudderfukker,motherfucker,sexual anatomy / sexual acts,2.6,severe
mufdive,muff,sexual anatomy / sexual acts,1.8,strong
mufdivin,muff,sexual anatomy / sexual acts,2.8,severe
muff,muff,sexual anatomy / sexual acts,1.4,mild
muffdiving,muff,sexual anatomy / sexual acts,2,strong
muffdivings,muff,sexual anatomy / sexual acts,2.2,strong
muffindivin,muff,sexual anatomy / sexual acts,1.8,strong
muffindiving,muff,sexual anatomy / sexual acts,1.8,strong
muhfucking,motherfucker,sexual anatomy / sexual acts,2.4,strong
mushroom tip,mushroom tip,sexual anatomy / sexual acts,1.4,mild
mutha fucka,motherfucker,sexual anatomy / sexual acts,2.8,severe
mutha fucker,motherfucker,sexual anatomy / sexual acts,2.4,strong
muthafecker,motherfucker,sexual anatomy / sexual acts,2.8,severe
muthafeckers,motherfucker,sexual anatomy / sexual acts,3,severe
muthafucka,motherfucker,sexual anatomy / sexual acts,2.8,severe
muthafuckers,motherfucker,sexual anatomy / sexual acts,3,severe
muthafuckings,motherfucker,sexual anatomy / sexual acts,3,severe
muthafuckker,motherfucker,sexual anatomy / sexual acts,3,severe
muthafuckkers,motherfucker,sexual anatomy / sexual acts,2.8,severe
muthafukka,motherfucker,sexual anatomy / sexual acts,3,severe
mutherfucker,motherfucker,sexual anatomy / sexual acts,2.6,severe
mutherfuckers,motherfucker,sexual anatomy / sexual acts,2.8,severe
n0bhead,knob,sexual anatomy / sexual acts,1.6,strong
n0bj0cky,knob,sexual anatomy / sexual acts,2.4,strong
n1ckker,nigger,racial / ethnic slurs,2.8,severe
n1g3r,nigger,racial / ethnic slurs,3,severe
n1g3rz,nigger,racial / ethnic slurs,3,severe
n1gg@,nigger,racial / ethnic slurs,3,severe
n1gg@hs,niggger,racial / ethnic slurs,2.8,severe
n1gg3r,nigger,racial / ethnic slurs,3,severe
n1gg3rs,nigger,racial / ethnic slurs,3,severe
n1gga,nigger,racial / ethnic slurs,2.4,strong
n1ggah,nigger,racial / ethnic slurs,2.8,severe
n1ggahs,niggers,racial / ethnic slurs,3,severe
n1ggas,nigger,racial / ethnic slurs,3,severe
n1ggazes,nigger,racial / ethnic slurs,3,severe
n1gger,nigger,racial / ethnic slurs,3,severe
